retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
500,1.0,1,503,1612.5
500,1.0,1,503,1651.6
500,1.0,1,503,1621.6
500,1.0,1,503,1032.4
500,1.0,1,503,1032.9
500,1.0,1,503,1031.9
500,1.0,1,503,1046.4
500,1.0,1,503,1051.4
500,1.0,1,503,1059.6
500,1.0,1,503,1058.2
500,1.0,1,503,1059.8
500,1.0,1,503,1057.7
500,1.0,1,503,1057.4
500,1.0,1,503,1085.0
500,1.0,1,503,1087.0
500,1.0,1,503,1106.0
500,1.0,1,503,1111.6
500,1.0,1,503,1097.1
500,1.0,1,503,1103.8
500,1.0,1,503,1116.5
500,1.0,1,503,1093.2
500,1.0,1,503,1094.9
500,1.0,1,503,1097.0
500,1.0,1,503,1112.0
500,1.0,1,503,1115.9
500,1.0,1,503,1449.0
500,1.0,1,503,1109.9
500,1.0,1,503,1525.7
500,1.0,1,503,1090.4
500,1.0,1,503,1096.5
500,1.0,1,503,1101.7
500,1.0,1,503,1097.8
500,1.0,1,503,1522.8
